wavelength,x,y,z
0.674,0.0400390625,0.0,0.0400390625
0.6745,0.0,0.0,0.0400390625
0.675,0.0,0.0,0.0
0.6755,0.0,0.0,0.0400390625
0.676,0.0,0.0,0.0
0.6765,0.0,-0.16015625,0.0
0.677,0.0,-0.16015625,0.0
0.6775,0.0,0.0,0.0
0.678,0.0,0.0,0.0
0.6785,0.0,0.0,0.0
0.679,0.0,0.0,0.0400390625
0.6795,0.0,0.0,0.0400390625
0.68,0.0,0.0,0.0400390625
0.6805,0.0,0.0,0.0400390625
0.681,0.0,0.0,0.0400390625
0.6815,0.0,0.0,0.0400390625
0.682,0.0,0.0,0.080078125
0.6825,0.0,0.0,0.0400390625
0.683,-0.16015625,0.0,0.0400390625
0.6835,0.0,0.0,0.0400390625
0.684,0.0,-0.16015625,0.0400390625
0.6845,0.0,0.0,0.0400390625
0.685,0.0,-0.16015625,0.0400390625
0.6855,0.0,0.0,0.080078125
0.686,0.0,0.0,0.0400390625
0.6865,0.0,0.0,0.0400390625
0.687,0.0,-0.1201171875,0.0400390625
0.6875,0.0,0.0,0.0400390625
0.688,0.0,0.0,0.0400390625
0.6885,0.0,0.0,0.0400390625
0.689,0.0,-0.16015625,0.0
0.6895,0.0,-0.1201171875,0.0400390625
0.69,0.0,-0.16015625,0.0
0.6905,0.0,0.0,0.0400390625
0.691,0.0,0.0,0.0400390625
0.6915,0.0,0.0,0.0400390625
0.692,0.0400390625,-0.16015625,0.0
0.6925,0.0,-0.16015625,0.0400390625
0.693,0.0,-0.16015625,0.0
0.6935,0.0,0.0,0.0400390625
0.694,0.0400390625,0.0,0.0400390625
0.6945,0.0,0.0,0.0
0.695,0.0,0.0,0.0400390625
0.6955,0.0,0.0,0.0400390625
0.696,0.0,0.0,0.0400390625
0.6965,0.0,0.0,0.0400390625
0.697,0.0,0.0,0.0400390625
0.6975,0.0,0.0,0.0400390625
0.698,0.0,0.0,0.0400390625
0.6985,0.0,0.0,0.0400390625
0.699,0.0,0.0,0.0400390625
0.6995,0.0,0.0,0.0400390625
0.7,0.0,-0.16015625,0.0400390625
0.7005,0.0,0.0,0.0400390625
0.701,0.0,-0.16015625,0.0
0.7015,0.0,0.0,0.0400390625
0.702,0.0,0.0,0.0400390625
0.7025,0.0,0.0,0.0400390625
0.703,0.0,0.0,0.0400390625
0.7035,0.0,0.0,0.0400390625
0.704,0.0,0.0,0.0400390625
0.7045,0.0,0.0,0.0400390625
0.705,0.0,0.0,0.0400390625
0.7055,0.0,0.0,0.0400390625
0.706,0.0400390625,0.0,0.0400390625
0.7065,0.0,0.0,0.0400390625
0.707,0.0,0.0,0.0400390625
0.7075,0.0400390625,0.0,0.0
0.708,0.0,-0.16015625,0.0
0.7085,0.0,-0.16015625,0.0
0.709,0.0,-0.16015625,0.0
0.7095,0.0,0.0,0.0
0.71,0.0,0.0,0.0400390625
0.7105,0.0400390625,0.0,0.0
0.711,0.0,-0.1201171875,0.0
0.7115,0.0,0.0,0.0400390625
0.712,0.0,-0.16015625,0.0400390625
0.7125,0.0,0.0,0.0400390625
0.713,0.0,0.0,0.0
0.7135,0.0,0.0,0.0400390625
0.714,0.0400390625,0.0,0.0400390625
0.7145,0.0,0.0,0.0400390625
0.715,-0.16015625,-0.1201171875,0.0400390625
0.7155,0.0400390625,0.0,0.0400390625
0.716,0.0,-0.16015625,0.0400390625
0.7165,0.0,0.0,0.0400390625
0.717,0.0,-0.16015625,0.0
0.7175,0.0,0.0,0.0400390625
0.718,0.0,0.0,0.0400390625
0.7185,0.0,0.0,0.080078125
0.719,0.0,-0.1201171875,0.0400390625
0.7195,0.0,0.0,0.0400390625
0.72,0.0,0.0,0.0400390625
0.7205,0.0,0.0,0.0400390625
0.721,0.0,0.0,0.0400390625
0.7215,0.0,0.0,0.0400390625
0.722,0.0,0.0,0.0400390625
0.7225,0.0,0.0,0.0400390625
0.723,0.0,-0.16015625,0.0400390625
0.7235,0.0,0.0,0.0400390625
0.724,0.0,-0.16015625,0.0400390625
0.7245,0.0,-0.1201171875,0.0400390625
0.725,0.0,-0.16015625,0.0
0.7255,0.0400390625,0.0,0.0400390625
0.726,0.0,0.0,0.0400390625
0.7265,0.0400390625,0.0,0.0400390625
0.727,0.0,0.0,0.0400390625
0.7275,0.0,0.0,0.0400390625
0.728,0.0,0.0,0.0400390625
0.7285,0.0,0.0,0.0400390625
0.729,0.0,0.0,0.0400390625
0.7295,0.0,0.0,0.0
0.73,-0.1201171875,0.0,0.0400390625
0.7305,-0.16015625,0.0,0.0400390625
0.731,0.0,0.0,0.0400390625
0.7315,0.0,0.0,0.0400390625
0.732,0.0,0.0,0.0400390625
0.7325,0.0,0.0,0.0400390625
0.733,0.0,-0.16015625,0.0
0.7335,0.0,0.0,0.0
0.734,0.0,0.0,0.080078125
0.7345,0.0,-0.16015625,0.0400390625
0.735,0.0,0.0,0.0400390625
0.7355,0.0,0.0,0.0400390625
0.736,0.0,0.0,0.0400390625
0.7365,0.0,0.0,0.0400390625
0.737,0.0,0.0,0.0400390625
0.7375,0.0,0.0,0.0400390625
0.738,0.0400390625,-0.16015625,0.0400390625
0.7385,0.0,0.0,0.080078125
0.739,0.0400390625,-0.16015625,0.0
0.7395,0.0400390625,0.0,0.0400390625
0.74,0.0,-0.16015625,0.0400390625
0.7405,0.0,-0.16015625,0.0
0.741,0.0,-0.16015625,0.0
0.7415,0.0400390625,0.0,0.0400390625
0.742,0.0,-0.16015625,0.0400390625
0.7425,-0.16015625,-0.16015625,0.0400390625
0.743,0.0400390625,0.0,0.0400390625
0.7435,0.0400390625,0.0,0.0
0.744,0.0,0.0,0.0
0.7445,0.0,0.0,0.0400390625
0.745,0.0,0.0,0.0400390625
0.7455,0.0,0.0,0.0
0.746,-0.16015625,0.0,0.0400390625
0.7465,0.0400390625,0.0,0.0400390625
0.747,0.0400390625,0.0,0.0400390625
0.7475,0.0,0.0,0.0400390625
0.748,0.0,-0.16015625,0.0400390625
0.7485,0.0,0.0,0.0400390625
0.749,0.0400390625,-0.16015625,0.0
0.7495,0.0,0.0,0.0
0.75,-0.16015625,0.0,0.0400390625
0.7505,0.0,0.0400390625,0.0400390625
0.751,0.0,0.0,0.0400390625
0.7515,0.0,0.0,0.0400390625
0.752,0.0,0.0,0.0400390625
0.7525,0.0,0.0,0.0400390625
0.753,-0.16015625,0.0,0.0400390625
0.7535,0.0,0.0,0.080078125
0.754,0.0400390625,0.0400390625,0.080078125
0.7545,0.0,0.0,0.0
0.755,0.0,0.0,0.0400390625
0.7555,0.0,0.0,0.0400390625
0.756,0.0,-0.16015625,0.0400390625
0.7565,0.0,-0.16015625,0.0400390625
0.757,0.0,-0.16015625,0.0400390625
0.7575,-0.16015625,-0.1201171875,0.0400390625
0.758,0.0,0.0,0.0400390625
0.7585,0.1201171875,0.0,0.0400390625
0.759,0.0,0.0,0.080078125
0.7595,0.0,0.0,0.0400390625
0.76,0.0400390625,0.0,0.0400390625
0.7605,0.0,0.0,0.0400390625
0.761,0.0,-0.16015625,0.0
0.7615,0.0,0.0,0.0400390625
0.762,0.1201171875,0.0400390625,0.0400390625
0.7625,-0.16015625,-0.16015625,0.0400390625
0.763,0.0400390625,0.0,0.0400390625
0.7635,0.0,-0.1201171875,0.0400390625
0.764,0.0,-0.16015625,0.0400390625
0.7645,0.0,0.0,0.0
0.765,-0.16015625,-0.2001953125,0.0
0.7655,0.1201171875,0.0400390625,0.0400390625
0.766,0.0400390625,0.0,0.0400390625
0.7665,-0.16015625,0.0,0.0400390625
0.767,0.0,0.0,0.0400390625
0.7675,0.0,0.0,0.0400390625
0.768,0.0,0.0,0.0400390625
0.7685,0.0,0.0,0.0400390625
0.769,0.0,0.0,0.0400390625
0.7695,0.0,0.0,0.0400390625
0.77,0.0400390625,0.0,0.0
0.7705,-0.16015625,-0.16015625,0.0400390625
0.771,0.0,0.0,0.0400390625
0.7715,0.0,0.0,0.0400390625
0.772,0.0,-0.16015625,0.0400390625
0.7725,0.0,0.0,0.0400390625
0.773,0.0,0.0,0.080078125
0.7735,0.0,0.0,0.1201171875
0.774,0.0,-0.16015625,0.0400390625
0.7745,0.1201171875,0.0,0.0400390625
0.775,0.0,0.0,0.0400390625
0.7755,0.0,0.0,0.0400390625
0.776,0.0,0.0,0.0400390625
0.7765,0.0400390625,0.0,0.0400390625
0.777,-0.16015625,-0.16015625,0.0
0.7775,0.0,0.0,0.0400390625
0.778,0.1201171875,0.0400390625,0.0400390625
0.7785,-0.1201171875,-0.16015625,0.0400390625
0.779,0.0,0.0,0.0400390625
0.7795,0.0,0.0,0.0400390625
0.78,0.0,-0.16015625,0.0
0.7805,0.0,-0.16015625,0.0
0.781,-0.16015625,-0.16015625,0.0
0.7815,0.0,-0.16015625,0.0
0.782,0.0,-0.16015625,0.0
0.7825,0.0400390625,0.0,0.080078125
0.783,0.0,0.0,0.0400390625
0.7835,0.0,0.0,0.0400390625
0.784,0.0,0.0,0.0400390625
0.7845,0.0,0.0,0.0400390625
0.785,0.0400390625,0.0400390625,0.080078125
0.7855,0.0,0.0,0.080078125
0.786,0.0,0.0,0.1201171875
0.7865,0.0,-0.16015625,0.0
0.787,0.0,-0.16015625,0.0400390625
0.7875,0.0,-0.16015625,0.0400390625
0.788,0.0,-0.16015625,0.0400390625
0.7885,0.0,-0.16015625,0.0400390625
0.789,0.0,-0.2802734375,0.0
0.7895,0.0,-0.16015625,0.0
0.79,0.0,0.0,0.1201171875
0.7905,0.1201171875,0.0,0.0400390625
0.791,0.0,0.0,0.0400390625
0.7915,0.0,0.0,0.0400390625
0.792,0.0,0.0,0.0400390625
0.7925,0.0,-0.1201171875,0.0
0.793,0.0,0.0,0.080078125
0.7935,0.0400390625,0.0,0.0
0.794,0.0400390625,0.0,0.0
0.7945,0.1201171875,0.0,0.0
0.795,0.0,0.0,0.0400390625
0.7955,0.0,0.0,0.0400390625
0.796,0.0,0.0,0.0400390625
0.7965,0.0,-0.16015625,0.0400390625
0.797,0.0,-0.16015625,0.0
0.7975,0.0,-0.16015625,0.0
0.798,0.0,0.0400390625,0.080078125
0.7985,-0.16015625,-0.16015625,0.0
0.799,-0.16015625,0.0,0.0400390625
0.7995,0.0,0.0,0.0400390625
0.8,0.0,0.0,0.0400390625
0.8005,0.080078125,0.0,0.0400390625
0.801,0.0,0.0400390625,0.080078125
0.8015,0.0,-0.1201171875,0.0400390625
0.802,0.0,-0.16015625,0.0
0.8025,0.0400390625,0.0,0.0400390625
0.803,0.0,0.0,0.0400390625
0.8035,0.0,0.0,0.080078125
0.804,0.0,-0.16015625,0.0400390625
0.8045,0.0400390625,0.0,0.080078125
0.805,0.0,-0.16015625,0.0400390625
0.8055,0.0,-0.2001953125,0.0
0.806,0.0,0.0,0.1201171875
0.8065,-0.16015625,-0.16015625,0.0400390625
0.807,0.0,-0.16015625,0.0400390625
0.8075,0.0,0.0,0.0400390625
0.808,0.0400390625,0.0,0.0400390625
0.8085,-0.16015625,-0.2001953125,0.0
0.809,0.0,-0.16015625,0.0
0.8095,0.0,0.0,0.080078125
0.81,0.0,-0.16015625,0.0400390625
0.8105,0.0,0.0,0.080078125
0.811,0.0,0.0,0.0400390625
0.8115,0.0,0.0,0.0400390625
0.812,0.080078125,0.0,0.0
0.8125,0.0,-0.2001953125,0.0
0.813,0.0,-0.16015625,0.0
0.8135,0.0,-0.1201171875,0.0400390625
0.814,0.0,0.0,0.080078125
0.8145,-0.16015625,-0.16015625,0.0
0.815,0.0,0.0,0.0400390625
0.8155,0.0,0.0,0.0
0.816,0.0,0.0,0.0
0.8165,-0.16015625,-0.1201171875,0.080078125
0.817,0.0,0.0,0.0400390625
0.8175,0.0,-0.16015625,0.0
0.818,0.0,0.0400390625,0.1201171875
0.8185,0.0,0.0,0.080078125
0.819,0.0,0.0,0.0400390625
0.8195,0.0,0.0,0.0400390625
0.82,-0.2001953125,0.0,0.080078125
0.8205,0.0,-0.2001953125,0.0
0.821,0.0,0.0,0.080078125
0.8215,0.0,0.0,0.0400390625
0.822,0.0,-0.16015625,0.0
0.8225,0.0,-0.16015625,0.0
0.823,0.0,0.0,0.0400390625
0.8235,0.0,0.0,0.0400390625
0.824,-0.16015625,0.0,0.080078125
0.8245,0.0,-0.16015625,0.0
0.825,0.0,0.0,0.080078125
0.8255,0.0,0.0,0.0400390625
0.826,0.0,0.080078125,0.1201171875
0.8265,0.0400390625,0.0,0.080078125
0.827,0.0,0.0,0.0400390625
0.8275,0.0,0.0,0.0400390625
0.828,-0.16015625,-0.16015625,0.0400390625
0.8285,0.0,-0.1201171875,0.080078125
0.829,0.0,0.0,0.0
0.8295,0.0,0.0,0.080078125
0.83,0.0400390625,-0.16015625,0.0
0.8305,0.0,0.0,0.080078125
0.831,0.0,0.0,0.0400390625
0.8315,0.0400390625,0.0,0.0
0.832,0.0,0.0,0.080078125
0.8325,0.0,0.0,0.16015625
0.833,0.0,0.0,0.16015625
0.8335,0.0,0.0,0.080078125
0.834,0.0,0.0,0.1201171875
0.8345,0.0400390625,0.0400390625,0.080078125
0.835,0.0,0.0,0.0400390625
0.8355,0.0,0.0,0.0400390625
0.836,0.0400390625,-0.16015625,0.0
0.8365,0.0,0.0,0.16015625
0.837,0.0,-0.16015625,0.0
0.8375,0.0,0.0,0.0
0.838,0.0,-0.16015625,0.0
0.8385,-0.16015625,0.0,0.080078125
0.839,0.0,0.0,0.080078125
0.8395,0.0,0.0,0.080078125
0.84,0.0,0.0,0.0
0.8405,0.0,0.0,0.0
0.841,0.0,0.0,0.0400390625
0.8415,0.0,0.0,0.0400390625
0.842,0.0,-0.16015625,0.0
0.8425,-0.1201171875,0.0,0.080078125
0.843,0.0,0.0,0.0400390625
0.8435,0.0,0.0,0.0400390625
0.844,0.0,0.0,0.080078125
0.8445,0.0,0.0,0.0
0.845,0.0,0.0,0.0
0.8455,0.0,0.0,0.0400390625
0.846,0.0,-0.1201171875,0.0400390625
0.8465,-0.16015625,0.0,0.0400390625
0.847,0.0,0.0,0.0400390625
0.8475,0.0,0.0,0.080078125
0.848,0.0,0.0,0.1201171875
0.8485,0.0,0.0,0.0400390625
0.849,0.0,0.0,0.0400390625
0.8495,0.0,0.0,0.0400390625
0.85,0.1201171875,0.0400390625,0.0
0.8505,-0.16015625,0.0,0.0400390625
0.851,0.0,0.0,0.0400390625
0.8515,0.0,0.0,0.0
0.852,0.0,0.0,0.0400390625
0.8525,0.0,0.0,0.0
0.853,0.0,0.0,0.0
0.8535,0.0,0.0,0.1201171875
0.854,0.0,-0.16015625,0.0
0.8545,0.0,-0.16015625,0.0400390625
0.855,-0.16015625,0.0,0.1201171875
0.8555,0.1201171875,0.0,0.0
0.856,0.0,0.0,0.0
0.8565,0.0,0.0,0.0400390625
0.857,0.0,0.0,0.0400390625
0.8575,0.0,0.0,0.080078125
0.858,0.080078125,0.0,0.0
0.8585,0.0400390625,-0.16015625,0.0
0.859,0.0,-0.16015625,0.0400390625
0.8595,0.1201171875,0.0,0.0400390625
0.86,0.0,-0.16015625,0.0400390625
0.8605,0.0,0.0,0.0
0.861,0.0,0.0,0.0400390625
0.8615,0.0,0.0,0.0
0.862,0.080078125,0.0,0.0400390625
0.8625,0.080078125,0.0,0.0
0.863,0.0,0.0,0.0400390625
0.8635,-0.16015625,-0.2001953125,0.0
0.864,0.0,0.0,0.0
0.8645,0.0,0.0,0.0400390625
0.865,0.0,0.0,0.0400390625
0.8655,0.0,0.0,0.080078125
0.866,0.0400390625,0.0,0.0
0.8665,0.0400390625,0.0,0.0400390625
0.867,0.0400390625,0.0,0.0400390625
0.8675,0.0,0.0,0.0
0.868,0.0,0.0,0.0400390625
0.8685,0.0,0.0,0.0400390625
0.869,0.0,0.0,0.0
0.8695,0.0,0.0,0.0
0.87,0.0400390625,0.080078125,0.080078125
0.8705,0.0,0.0,0.080078125
0.871,-0.16015625,-0.16015625,0.0400390625
0.8715,0.0,0.0400390625,0.0400390625
0.872,0.0,0.0,0.0400390625
0.8725,0.0,0.0,0.0400390625
0.873,0.0,0.0,0.0400390625
0.8735,0.0,0.0,0.0400390625
0.874,0.080078125,0.0400390625,0.080078125
0.8745,0.0,0.0,0.0400390625
0.875,-0.16015625,-0.16015625,0.0
0.8755,0.0,0.0,0.1201171875
0.876,0.0,-0.16015625,0.0400390625
0.8765,0.0,-0.16015625,0.0400390625
0.877,0.0,0.0,0.0400390625
0.8775,0.0,0.0,0.0
0.878,-0.16015625,0.0,0.0400390625
0.8785,0.0400390625,0.0,0.0400390625
0.879,0.080078125,0.0400390625,0.0400390625
0.8795,0.0,0.0,0.1201171875
0.88,0.0,0.0,0.0400390625
0.8805,0.0,0.0,0.0400390625
0.881,0.0,0.0,0.0400390625
0.8815,0.0400390625,0.0,0.0400390625
0.882,0.080078125,0.0400390625,0.0400390625
0.8825,0.0,0.0,0.0400390625
0.883,0.0,-0.16015625,0.0
0.8835,0.080078125,0.0,0.0
0.884,0.0,0.0,0.0400390625
0.8845,0.0,-0.16015625,0.0
0.885,0.0,0.0,0.0400390625
0.8855,0.0,0.0,0.0
0.886,0.0,-0.16015625,0.0
0.8865,0.0,0.0,0.0400390625
0.887,0.0,0.0,0.080078125
0.8875,0.0,0.0,0.0
0.888,0.0,0.0,0.0400390625
0.8885,0.0,0.0,0.0400390625
0.889,0.0,0.0,0.0400390625
0.8895,0.0,0.0,0.0400390625
0.89,0.0400390625,0.0400390625,0.080078125
0.8905,0.0,0.0,0.0400390625
0.891,0.0,0.080078125,0.1201171875
0.8915,0.080078125,0.0,0.0400390625
0.892,0.0,-0.16015625,0.0400390625
0.8925,0.0,-0.16015625,0.0400390625
0.893,0.0,0.0,0.0400390625
0.8935,0.0,0.0,0.0
0.894,0.0400390625,0.0400390625,0.0400390625
0.8945,0.0400390625,0.0,0.0
0.895,0.0,0.0,0.0400390625
0.8955,0.0,0.0,0.0400390625
0.896,0.0,0.0,0.0
0.8965,0.0,0.0,0.0400390625
0.897,0.0,0.0,0.0400390625
0.8975,0.0,0.0,0.0400390625
0.898,0.0400390625,0.0400390625,0.080078125
0.8985,0.0400390625,0.0,0.0
0.899,0.0,0.0,0.1201171875
0.8995,0.0400390625,0.0,0.0400390625
0.9,0.0,-0.16015625,0.0400390625
0.9005,0.0400390625,-0.240234375,-0.16015625
0.901,0.0,0.0,0.0400390625
0.9015,0.0400390625,0.0,0.0
0.902,0.080078125,0.0,0.0400390625
0.9025,-0.16015625,0.0,0.0400390625
0.903,0.0,-0.16015625,0.0
0.9035,0.0,0.0,0.0400390625
0.904,0.0,0.0,0.0400390625
0.9045,0.0,0.0,0.0400390625
0.905,0.0,0.0,0.080078125
0.9055,0.0,0.0,0.080078125
0.906,0.080078125,0.0,0.0400390625
0.9065,-0.16015625,0.0,0.080078125
0.907,0.0,0.0,0.0400390625
0.9075,0.0,-0.16015625,0.0
0.908,0.0,-0.16015625,0.0400390625
0.9085,0.0,-0.2001953125,0.0
0.909,0.0,0.0,0.0400390625
0.9095,0.0,0.0,0.080078125
0.91,-0.16015625,-0.16015625,0.0400390625
0.9105,0.0400390625,0.0,0.0400390625
0.911,0.0,0.0,0.080078125
0.9115,0.0,0.0,0.0400390625
0.912,0.0,0.0,0.0400390625
0.9125,0.0,0.0,0.0400390625
0.913,0.0,0.0,0.0400390625
0.9135,0.0,0.0,0.0
0.914,0.0,0.0,0.0400390625
0.9145,0.0,-0.16015625,0.0
0.915,0.0,0.0,0.0400390625
0.9155,0.0,0.0,0.0
0.916,0.0,-0.16015625,0.0
0.9165,0.0,-0.16015625,0.0
0.917,0.0,0.0,0.0400390625
0.9175,0.0,0.0,0.0
0.918,-0.16015625,0.0,0.0400390625
0.9185,0.0,0.0400390625,0.080078125
0.919,0.0,0.0,0.0400390625
0.9195,0.0,0.0,0.0400390625
0.92,0.0,0.0,0.0400390625
0.9205,0.0,0.0,0.0400390625
0.921,0.0,0.0,0.0400390625
0.9215,0.0,0.0,0.0
0.922,0.0,0.0,0.080078125
0.9225,0.0,-0.16015625,0.0
0.923,0.0,0.0,0.0400390625
0.9235,0.0,-0.16015625,0.0400390625
0.924,0.0,-0.16015625,0.0400390625
0.9245,0.0,-0.16015625,0.0400390625
0.925,0.0,0.0,0.0400390625
0.9255,0.0,0.0,0.0
0.926,0.080078125,0.0,0.0400390625
0.9265,0.0,0.0,0.0
0.927,0.0,-0.1201171875,0.0400390625
0.9275,0.0,0.0,0.0400390625
0.928,0.0,0.0,0.0400390625
0.9285,0.0,0.0,0.0400390625
0.929,0.0,-0.1201171875,0.0400390625
0.9295,0.0,0.0,0.0400390625
0.93,-0.16015625,-0.16015625,0.0400390625
0.9305,0.0,-0.16015625,0.0400390625
0.931,0.0,0.0,0.0400390625
0.9315,0.0,-0.16015625,0.0
0.932,0.0,-0.16015625,0.0
0.9325,0.0,-0.16015625,0.0
0.933,0.0,0.0,0.0400390625
0.9335,0.0,0.0,0.1201171875
0.934,0.0,0.0,0.0400390625
0.9345,0.0,0.0,0.0
0.935,0.0,0.0,0.0
0.9355,0.0,0.0,0.0400390625
0.936,0.0,0.0,0.0400390625
0.9365,0.0,0.0,0.0400390625
0.937,0.0,0.0,0.0400390625
0.9375,0.0,0.0,0.0400390625
0.938,0.1201171875,0.0400390625,0.0400390625
0.9385,0.0,0.0,0.0400390625
0.939,0.0,0.0,0.0400390625
0.9395,0.0,0.0,0.0400390625
0.94,0.0,0.0,0.0400390625
0.9405,0.0,-0.1201171875,0.0
0.941,0.0,0.0,0.0400390625
0.9415,0.0,0.0,0.1201171875
0.942,-0.1201171875,0.0400390625,0.1201171875
0.9425,0.0,0.0,0.080078125
0.943,0.0,0.0,0.0400390625
0.9435,0.0,0.0,0.0400390625
0.944,0.0,0.0,0.0400390625
0.9445,0.0,0.0,0.0400390625
0.945,0.0,0.0,0.0400390625
0.9455,0.0,0.0,0.0
0.946,0.0,0.0,0.0
0.9465,0.0,0.0,0.080078125
0.947,0.0,0.0,0.0400390625
0.9475,0.0,-0.16015625,0.0400390625
0.948,0.0,-0.16015625,0.0
0.9485,0.0,-0.16015625,0.0400390625
0.949,0.0,0.0,0.0400390625
0.9495,0.0,-0.16015625,0.080078125
0.95,0.0,-0.16015625,0.0
0.9505,0.0,0.0,0.0
0.951,0.0,-0.1201171875,0.0
0.9515,0.0,0.0,0.0400390625
0.952,0.0,0.0,0.0400390625
0.9525,0.0,0.0,0.0400390625
0.953,0.0,0.0,0.0
0.9535,0.0,-0.2001953125,0.0
0.954,0.0,0.0,0.080078125
0.9545,0.0,0.0,0.080078125
0.955,0.0,0.0,0.0400390625
0.9555,0.0,-0.16015625,0.0400390625
0.956,0.0,-0.16015625,0.0400390625
0.9565,0.0,-0.16015625,0.0
0.957,0.0,0.0,0.0400390625
0.9575,0.0,-0.2001953125,0.0
0.958,0.0,0.0,0.080078125
0.9585,0.0,0.0,0.0400390625
0.959,0.0,0.0,0.0400390625
0.9595,0.0,0.0,0.0400390625
0.96,0.0,0.0,0.0400390625
0.9605,0.0,0.0,0.0400390625
0.961,0.0,0.0,0.0400390625
0.9615,0.0,0.0,0.0
0.962,0.0,0.0,0.0400390625
0.9625,0.0,0.0,0.0
0.963,0.0,0.0,0.0400390625
0.9635,0.0,0.0,0.0400390625
0.964,0.0,-0.16015625,0.0400390625
0.9645,0.0,-0.16015625,0.0
0.965,0.0,0.0,0.0400390625
0.9655,0.0,-0.16015625,0.0400390625
0.966,0.0,0.0,0.0400390625
0.9665,0.0,0.0,0.0400390625
0.967,0.0,0.0,0.0400390625
0.9675,0.0,0.0,0.0400390625
0.968,0.0,0.0,0.0
0.9685,0.0,0.0,0.0400390625
0.969,0.0,0.0,0.1201171875
0.9695,-0.16015625,-0.16015625,0.0400390625
0.97,0.0,0.0,0.0400390625
0.9705,0.0,0.0,0.0400390625
0.971,0.0,0.0,0.0400390625
0.9715,0.0,-0.1201171875,0.0400390625
0.972,0.0,-0.16015625,0.0
0.9725,0.0,-0.16015625,0.0
0.973,0.0,0.0,0.0400390625
0.9735,0.0,-0.2001953125,-0.1201171875
0.974,0.0,0.0,0.0400390625
0.9745,0.0,0.0,0.0400390625
0.975,0.0,0.0,0.0400390625
0.9755,0.0,0.0,0.0400390625
0.976,0.0,0.0,0.080078125
0.9765,0.0,0.0,0.0400390625
0.977,0.0,-0.16015625,0.0400390625
0.9775,0.0,-0.16015625,0.0
0.978,0.0,0.0,0.0400390625
0.9785,0.0,0.0,0.0400390625
0.979,0.0,0.0,0.0400390625
0.9795,0.0,-0.16015625,0.0400390625
0.98,0.0,-0.16015625,0.0400390625
0.9805,0.0,-0.16015625,0.0400390625
0.981,0.0,0.0,0.0400390625
0.9815,0.080078125,0.0,0.080078125
0.982,0.0,0.0,0.0400390625
0.9825,0.0,0.0,0.0400390625
0.983,0.0,0.0,0.0400390625
0.9835,0.0,0.0,0.0400390625
0.984,0.0,0.0,0.0400390625
0.9845,0.0,0.0,0.0400390625
0.985,0.0,0.0,0.0
0.9855,0.0400390625,0.080078125,0.080078125
0.986,0.0,0.0,0.0400390625
0.9865,0.0,0.0,0.0400390625
0.987,0.0,0.0,0.0
0.9875,0.0,0.0,0.0400390625
0.988,0.0,-0.16015625,0.0
0.9885,0.0,-0.1201171875,0.0
0.989,0.0,0.0,0.1201171875
0.9895,0.0,0.0,0.0
0.99,0.0,0.0,0.0400390625
0.9905,0.0,0.0,0.0400390625
0.991,0.0,0.0,0.0400390625
0.9915,0.0,0.0,0.0400390625
0.992,0.0,0.0,0.0400390625
0.9925,0.0,0.0,0.0400390625
0.993,0.0400390625,0.0,0.0
0.9935,0.0,0.0,0.0
0.994,0.0,0.0,0.0400390625
0.9945,0.0,0.0,0.0400390625
0.995,0.0,0.0,0.0400390625
0.9955,0.0,0.0,0.0400390625
0.996,0.0,-0.16015625,0.0400390625
0.9965,0.0,-0.16015625,0.0
0.997,0.0,-0.16015625,0.0
0.9975,0.0,-0.16015625,0.1201171875
0.998,0.0,0.0,0.0400390625
0.9985,0.0,0.0,0.0400390625
0.999,0.0,0.0,0.0400390625
0.9995,0.0,0.0,0.0400390625
